latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
58.427,107.38,312.2,1.3,1.1,2021-08-31,0345,T,69,6.1NRT,296.7,10.7,D
58.42,107.446,307,1.3,1.1,2021-08-31,0345,T,61,6.1NRT,295.3,6.4,D
58.417,107.376,308.3,1.3,1.1,2021-08-31,0345,T,44,6.1NRT,294.9,6.9,D
58.34,105.736,316.7,1.5,1.2,2021-08-31,0345,T,72,6.1NRT,297.3,18.4,D
58.299,105.665,314.5,1.5,1.2,2021-08-31,0345,T,70,6.1NRT,294.2,16.5,D
58.297,105.69,328.7,1.5,1.2,2021-08-31,0345,T,85,6.1NRT,296.7,41.5,D
58.137,107.102,310.7,1.3,1.1,2021-08-31,0345,T,68,6.1NRT,295.2,11.3,D
58.098,106.546,311.9,1.4,1.2,2021-08-31,0345,T,70,6.1NRT,295.6,14,D
58.029,106.83,319.6,1.3,1.1,2021-08-31,0345,T,78,6.1NRT,295.6,22.7,D
58.034,106.824,311.3,1.3,1.1,2021-08-31,0345,T,63,6.1NRT,294.8,11.9,D
58.032,106.846,310.7,1.3,1.1,2021-08-31,0345,T,56,6.1NRT,294.4,10.8,D
58.039,106.543,321.2,1.4,1.2,2021-08-31,0345,T,80,6.1NRT,297,27,D
58.037,106.566,307,1.4,1.2,2021-08-31,0345,T,61,6.1NRT,294.9,8.3,D
57.981,107.151,311.9,1.3,1.1,2021-08-31,0345,T,70,6.1NRT,294.5,12.4,D
57.985,106.785,314.6,1.3,1.1,2021-08-31,0345,T,73,6.1NRT,296.8,15.9,D
57.982,106.808,337.3,1.3,1.1,2021-08-31,0345,T,90,6.1NRT,298.8,56.2,D
57.976,106.875,303.6,1.3,1.1,2021-08-31,0345,T,45,6.1NRT,293.4,4.9,D
57.873,105.872,319.3,1.4,1.2,2021-08-31,0345,T,78,6.1NRT,297.3,25.4,D
57.871,105.896,327.5,1.4,1.2,2021-08-31,0345,T,84,6.1NRT,296.8,40.2,D
57.787,105.939,305.7,1.4,1.2,2021-08-31,0345,T,54,6.1NRT,294.1,5.9,D
57.785,105.963,309.2,1.4,1.2,2021-08-31,0345,T,66,6.1NRT,294.8,9.5,D
57.824,105.238,353,1.5,1.2,2021-08-31,0345,T,97,6.1NRT,294.8,122.7,D
57.822,105.263,310.4,1.5,1.2,2021-08-31,0345,T,67,6.1NRT,293.2,12.3,D
57.655,106.039,308.8,1.4,1.2,2021-08-31,0345,T,65,6.1NRT,294.2,10,D
57.651,106.031,307.1,1.4,1.2,2021-08-31,0345,T,57,6.1NRT,293.6,7.4,D
57.357,107.188,317.3,1.3,1.1,2021-08-31,0345,T,76,6.1NRT,293,19.2,D
57.237,104.77,323.7,1.6,1.2,2021-08-31,0345,T,82,6.1NRT,293.7,35,D
57.235,104.796,321.5,1.6,1.2,2021-08-31,0345,T,80,6.1NRT,293.5,30.2,D
57.224,104.794,319.1,1.6,1.2,2021-08-31,0345,T,55,6.1NRT,293.6,24.4,D
56.4,105.931,306.4,1.4,1.2,2021-08-31,0345,T,51,6.1NRT,295.7,9.8,D
55.693,108.261,322,1.1,1.1,2021-08-31,0345,T,81,6.1NRT,293.2,21.9,D
55.691,108.279,339.4,1.1,1.1,2021-08-31,0345,T,91,6.1NRT,295.1,49,D
56,103.315,302.3,1.7,1.3,2021-08-31,0345,T,52,6.1NRT,291,7.6,D
50.151,125.989,303.2,4.3,1.9,2021-08-31,0345,T,55,6.1NRT,292.8,32.6,D
22.613,107.973,313.2,2.1,1.4,2021-08-31,0355,T,52,6.1NRT,293.9,20.7,D
23.38,103.396,323.7,1.1,1,2021-08-31,0355,T,45,6.1NRT,300.1,12.9,D
23.325,103.439,317,1.1,1,2021-08-31,0355,T,32,6.1NRT,298.4,10.7,D
23.17,102.969,313.8,1.1,1,2021-08-31,0355,T,54,6.1NRT,296.9,5.9,D
22.929,102.802,314.2,1.1,1,2021-08-31,0355,T,68,6.1NRT,296.5,7.3,D
21.675,108.656,311.5,2.5,1.5,2021-08-31,0355,T,34,6.1NRT,292.4,22.2,D
21.676,104.956,312.5,1.4,1.2,2021-08-31,0355,T,45,6.1NRT,293,8.7,D
21.461,105.89,316.4,1.6,1.2,2021-08-31,0355,T,56,6.1NRT,295.3,13.9,D
21.759,103.891,308.9,1.2,1.1,2021-08-31,0355,T,26,6.1NRT,293.6,6,D
21.243,106.14,317.3,1.7,1.3,2021-08-31,0355,T,48,6.1NRT,295.7,15.6,D
21.199,105.994,318.6,1.7,1.3,2021-08-31,0355,T,72,6.1NRT,296.3,16,D
21.263,104.65,314.7,1.3,1.1,2021-08-31,0355,T,43,6.1NRT,296,8.7,D
21.699,100.74,317.6,1,1,2021-08-31,0355,T,35,6.1NRT,299.4,6.6,D
20.522,105.898,317.8,1.7,1.3,2021-08-31,0355,T,50,6.1NRT,294.6,15.1,D
16.707,103.082,314.2,1.3,1.1,2021-08-31,0355,T,65,6.1NRT,291.6,8.8,D
61.54,113.162,322.7,1,1,2021-08-31,0340,T,77,6.1NRT,287.7,22.1,D
61.351,112.8,362,1,1,2021-08-31,0340,T,94,6.1NRT,293.6,98,D
61.349,112.82,347.3,1,1,2021-08-31,0340,T,90,6.1NRT,291.3,60.2,D
61.342,112.796,303.1,1,1,2021-08-31,0340,T,23,6.1NRT,285.3,5.4,D
61.34,112.815,305.2,1,1,2021-08-31,0340,T,53,6.1NRT,285.3,6.6,D
60.91,112.162,311.4,1.1,1,2021-08-31,0340,T,33,6.1NRT,288.2,10,D
60.904,112.139,316.2,1.1,1,2021-08-31,0340,T,62,6.1NRT,289,14.4,D
60.673,109.063,317.3,1.2,1.1,2021-08-31,0340,T,77,6.1NRT,292.8,17.4,D
60.671,109.086,312.3,1.2,1.1,2021-08-31,0340,T,58,6.1NRT,291.1,12.3,D
60.664,109.059,312.5,1.2,1.1,2021-08-31,0340,T,40,6.1NRT,294.2,11.5,D
60.355,111.696,312,1.1,1,2021-08-31,0340,T,72,6.1NRT,293.3,11.3,D
60.628,109.109,307.8,1.2,1.1,2021-08-31,0340,T,66,6.1NRT,293.2,9.4,D
60.733,106.628,309.3,1.5,1.2,2021-08-31,0340,T,68,6.1NRT,289.7,13.7,D
60.732,106.374,303.8,1.5,1.2,2021-08-31,0340,T,57,6.1NRT,290.6,8.5,D
60.655,106.734,305.1,1.5,1.2,2021-08-31,0340,T,54,6.1NRT,289.8,8.9,D
60.653,106.761,310.9,1.5,1.2,2021-08-31,0340,T,71,6.1NRT,291.7,14.8,D
60.253,110.672,306.4,1.1,1.1,2021-08-31,0340,T,63,6.1NRT,291.9,8.3,D
60.574,107.429,310.3,1.4,1.2,2021-08-31,0340,T,66,6.1NRT,293.2,12.3,D
60.592,107.093,306.3,1.4,1.2,2021-08-31,0340,T,54,6.1NRT,290,9.3,D
60.556,107.265,332.8,1.4,1.2,2021-08-31,0340,T,88,6.1NRT,292.7,49.3,D
60.576,106.898,316,1.4,1.2,2021-08-31,0340,T,72,6.1NRT,294.5,17.8,D
60.574,106.925,317.5,1.4,1.2,2021-08-31,0340,T,70,6.1NRT,293.1,21.4,D
60.552,107.257,312.3,1.4,1.2,2021-08-31,0340,T,50,6.1NRT,290.9,14.1,D
60.573,106.89,308.8,1.4,1.2,2021-08-31,0340,T,40,6.1NRT,293.7,9.1,D
60.571,106.917,327.5,1.4,1.2,2021-08-31,0340,T,85,6.1NRT,294.4,39.7,D
60.192,110.574,313.7,1.1,1.1,2021-08-31,0340,T,74,6.1NRT,292.5,13.6,D
60.18,110.506,311.9,1.1,1.1,2021-08-31,0340,T,59,6.1NRT,292.8,10.7,D
60.849,97.326,306.6,3.4,1.7,2021-08-31,0340,T,30,6.1NRT,282.9,40.3,D
60.15,109.088,308.5,1.2,1.1,2021-08-31,0340,T,67,6.1NRT,288.4,11,D
60.147,109.11,309.9,1.2,1.1,2021-08-31,0340,T,69,6.1NRT,289.4,12.3,D
44.263,135.051,302.6,1,1,2021-08-31,0355,A,17,6.1NRT,289.4,3.1,D
45.097,131.552,314.6,1.3,1.1,2021-08-31,0355,A,74,6.1NRT,294.2,17.7,D
45.203,130.897,308.6,1.4,1.2,2021-08-31,0355,A,24,6.1NRT,297.4,8.2,D
45.544,131.872,313.4,1.3,1.1,2021-08-31,0355,A,45,6.1NRT,298.6,10.3,D
45.541,131.856,314.3,1.3,1.1,2021-08-31,0355,A,42,6.1NRT,299,11.1,D
45.649,131.875,308.3,1.3,1.1,2021-08-31,0355,A,48,6.1NRT,296.2,6.9,D
46.234,130.558,307.2,1.4,1.2,2021-08-31,0355,A,37,6.1NRT,294.5,6.2,D
46.183,129.309,306.2,1.6,1.2,2021-08-31,0355,A,46,6.1NRT,295.4,9.7,D
46.772,131.801,308,1.2,1.1,2021-08-31,0355,A,31,6.1NRT,296.5,6.1,D
46.98,132.87,308.4,1.1,1,2021-08-31,0355,A,56,6.1NRT,295.4,7,D
46.679,129.946,306.8,1.5,1.2,2021-08-31,0355,A,0,6.1NRT,295.1,9.4,D
47.241,132.027,326,1.2,1.1,2021-08-31,0355,A,64,6.1NRT,298.2,21.4,D
47.25,132.023,318.5,1.2,1.1,2021-08-31,0355,A,25,6.1NRT,297.6,10,D
47.594,133.888,304.6,1,1,2021-08-31,0355,A,55,6.1NRT,293,3.9,D
47.592,133.874,306.4,1,1,2021-08-31,0355,A,60,6.1NRT,293.7,5,D
47.41,132.092,301.8,1.2,1.1,2021-08-31,0355,A,19,6.1NRT,290.8,3.1,D
47.647,132.51,314,1.1,1.1,2021-08-31,0355,A,35,6.1NRT,297,8.8,D
47.645,132.495,316.3,1.1,1.1,2021-08-31,0355,A,42,6.1NRT,297.1,10.9,D
48.356,134.292,311.8,1,1,2021-08-31,0355,A,41,6.1NRT,298,7.5,D
47.852,128.836,305.1,1.5,1.2,2021-08-31,0355,A,52,6.1NRT,293.6,7.6,D
48.883,130.383,308.6,1.3,1.1,2021-08-31,0355,A,34,6.1NRT,297.3,8.1,D
